,Date
0,02/11/81
1,02/12/81
2,02/13/81
3,02/17/81
4,02/18/81
5,02/19/81
6,02/20/81
7,02/23/81
8,02/24/81
9,02/25/81
10,02/26/81
11,02/27/81
12,03/02/81
13,03/03/81
14,03/04/81
15,03/05/81
16,03/06/81
17,03/09/81
18,03/10/81
19,03/11/81
20,03/12/81
21,03/13/81
22,03/16/81
23,03/17/81
24,03/18/81
25,03/19/81
26,03/20/81
27,03/23/81
28,03/24/81
29,03/25/81
30,03/26/81
31,03/27/81
32,03/30/81
33,03/31/81
34,04/01/81
35,04/02/81
36,04/03/81
37,04/06/81
38,04/07/81
39,04/08/81
40,04/09/81
