,Date,Open,High,Low,Close,Adj Close,Volume,Open_Change,Gain_Loss_Open
49.0,723234,0.10993299999999999,0.110491,0.10993299999999999,0.10993299999999999,0.08629500000000001,14112000.0,0.001116,1
50.0,723235,0.107143,0.107143,0.106027,0.106027,0.083229,16979200.0,-0.00279,0
51.0,723236,0.112723,0.11328099999999999,0.112723,0.112723,0.08848500000000001,19488000.0,0.00558,1
52.0,723237,0.114397,0.114955,0.114397,0.114397,0.0898,10841600.0,0.001674,1
53.0,723238,0.11830399999999999,0.11942,0.11830399999999999,0.11830399999999999,0.09286599999999999,14761600.0,0.003907,1
54.0,723241,0.123326,0.123884,0.123326,0.123326,0.096809,19152000.0,0.0050219999999999996,1
55.0,723242,0.117746,0.117746,0.11718800000000001,0.11718800000000001,0.09199,16172800.0,-0.00558,0
56.0,723243,0.11830399999999999,0.118862,0.11830399999999999,0.11830399999999999,0.09286599999999999,16486400.0,0.000558,1
57.0,723245,0.140625,0.141741,0.140625,0.140625,0.11038800000000001,39446400.0,0.022321,1
58.0,723247,0.111607,0.111607,0.110491,0.110491,0.086733,12432000.0,-0.029018000000000002,0
59.0,723248,0.093192,0.093192,0.092076,0.092076,0.072278,37475200.0,-0.018415,0
60.0,723250,0.088728,0.088728,0.08817,0.08817,0.069212,28380800.0,-0.004464,0
61.0,723251,0.083147,0.083147,0.082589,0.082589,0.064831,20428800.0,-0.005581,0
62.0,723252,0.099888,0.099888,0.09933,0.09933,0.077972,231302400.0,0.016741,1
63.0,723255,0.103237,0.104353,0.103237,0.103237,0.081039,37228800.0,0.0033490000000000004,1
64.0,723256,0.108259,0.109375,0.108259,0.108259,0.084981,43747200.0,0.0050219999999999996,1
65.0,723257,0.114955,0.11607100000000001,0.114955,0.114955,0.090238,36937600.0,0.006696,1
66.0,723258,0.114397,0.114397,0.11383900000000001,0.11383900000000001,0.089362,37811200.0,-0.000558,0
67.0,723259,0.114955,0.11607100000000001,0.114955,0.114955,0.090238,14604800.0,0.000558,1
68.0,723262,0.11942,0.12053599999999999,0.11942,0.11942,0.09374199999999999,22019200.0,0.004465,1
69.0,723263,0.11942,0.11942,0.118862,0.118862,0.093304,28156800.0,0.0,1
70.0,723264,0.117746,0.117746,0.116629,0.116629,0.091552,7056000.0,-0.001674,0
71.0,723265,0.114955,0.114955,0.114397,0.114397,0.0898,12275200.0,-0.002791,0
72.0,723266,0.111049,0.111049,0.110491,0.110491,0.086733,12252800.0,-0.003906,0
73.0,723269,0.110491,0.111607,0.110491,0.110491,0.086733,9900800.0,-0.000558,0
74.0,723270,0.110491,0.110491,0.109375,0.109375,0.085857,15993600.0,0.0,1
75.0,723272,0.12779000000000001,0.128348,0.12779000000000001,0.12779000000000001,0.100313,27865600.0,0.017299000000000002,1
76.0,723273,0.116629,0.116629,0.11607100000000001,0.11607100000000001,0.091114,13708800.0,-0.011161,0
77.0,723275,0.126674,0.126674,0.126116,0.126116,0.098999,14448000.0,0.010045,1
78.0,723276,0.14341500000000001,0.143973,0.14341500000000001,0.14341500000000001,0.112578,56067200.0,0.016741,1
79.0,723278,0.11216500000000001,0.112723,0.11216500000000001,0.11216500000000001,0.088047,31673600.0,-0.03125,0
80.0,723279,0.09151799999999999,0.09151799999999999,0.09096,0.09096,0.071402,15254400.0,-0.020647,0
