,Date,Open,High,Low,Close,Adj Close,Volume
0,1980-12-12,0.128348,0.128906,0.128348,0.128348,0.100751,469033600
1,1980-12-15,0.12221,0.12221,0.121652,0.121652,0.095495,175884800
2,1980-12-16,0.113281,0.113281,0.112723,0.112723,0.08848500000000001,105728000
3,1980-12-17,0.115513,0.116071,0.115513,0.115513,0.090676,86441600
4,1980-12-18,0.118862,0.11942,0.118862,0.118862,0.093304,73449600
5,1980-12-19,0.126116,0.126674,0.126116,0.126116,0.098999,48630400
6,1980-12-22,0.13225399999999998,0.132813,0.13225399999999998,0.13225399999999998,0.103817,37363200
7,1980-12-23,0.137835,0.13839300000000002,0.137835,0.137835,0.108198,46950400
8,1980-12-24,0.14508900000000002,0.145647,0.14508900000000002,0.14508900000000002,0.113892,48003200
9,1980-12-26,0.15848199999999998,0.15904,0.15848199999999998,0.15848199999999998,0.124405,55574400
10,1980-12-29,0.16071400000000002,0.161272,0.16071400000000002,0.16071400000000002,0.126158,93161600
11,1980-12-30,0.157366,0.157366,0.156808,0.156808,0.123091,68880000
12,1980-12-31,0.152902,0.152902,0.152344,0.152344,0.11958699999999997,35750400
13,1981-02-01,0.15401800000000002,0.155134,0.15401800000000002,0.15401800000000002,0.120901,21660800
14,1981-05-01,0.151228,0.151228,0.15067,0.15067,0.118273,35728000
15,1981-06-01,0.144531,0.144531,0.143973,0.143973,0.113016,45158400
16,1981-07-01,0.13839300000000002,0.13839300000000002,0.137835,0.137835,0.108198,55686400
17,1981-08-01,0.135603,0.135603,0.135045,0.135045,0.106008,39827200
18,1981-09-01,0.142299,0.14285699999999998,0.142299,0.142299,0.111702,21504000
19,1981-12-01,0.142299,0.142299,0.141183,0.141183,0.110826,23699200
20,1981-01-13,0.136719,0.136719,0.13616099999999998,0.13616099999999998,0.106884,23049600
21,1981-01-14,0.136719,0.137277,0.136719,0.136719,0.107322,14291200
22,1981-01-15,0.139509,0.140625,0.139509,0.139509,0.10951199999999997,14067200
23,1981-01-16,0.138951,0.138951,0.13839300000000002,0.13839300000000002,0.108636,13395200
24,1981-01-19,0.146763,0.147321,0.146763,0.146763,0.115206,41574400
25,1981-01-20,0.14285699999999998,0.14285699999999998,0.142299,0.142299,0.111702,30083200
26,1981-01-21,0.14508900000000002,0.146205,0.14508900000000002,0.14508900000000002,0.113892,15904000
27,1981-01-22,0.146763,0.14787899999999998,0.146763,0.146763,0.115206,35548800
28,1981-01-23,0.146763,0.147321,0.146205,0.146205,0.114768,11222400
29,1981-01-26,0.144531,0.144531,0.143973,0.143973,0.113016,24640000
